flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeGallery_Length200_Width735_Size2room_LayoutA,Gallery,200,735,2room,A,61.59,55.43,2
TypeGallery_Length200_Width735_Size2room_LayoutB,Gallery,200,735,2room,B,61.59,55.43,2
TypeGallery_Length200_Width735_Size2room_LayoutC,Gallery,200,735,2room,C,61.59,55.43,2
TypeGallery_Length200_Width735_Size3room_LayoutA,Gallery,200,735,3room,A,61.59,110.87,1
TypeGallery_Length200_Width735_Size3room_LayoutB,Gallery,200,735,3room,B,61.59,110.87,1
TypeGallery_Length200_Width735_Size3room_LayoutC,Gallery,200,735,3room,C,61.59,110.87,1
TypeGallery_Length225_Width535_SizeStudio_LayoutA,Gallery,225,535,Studio,A,53.43,42.08,2
TypeGallery_Length225_Width535_SizeStudio_LayoutB,Gallery,225,535,Studio,B,53.43,42.08,2
TypeGallery_Length225_Width535_SizeStudio_LayoutC,Gallery,225,535,Studio,C,53.43,42.08,2
TypeGallery_Length225_Width535_Size2room_LayoutA,Gallery,225,535,2room,A,53.43,84.15,1
TypeGallery_Length225_Width535_Size2room_LayoutB,Gallery,225,535,2room,B,53.43,84.15,1
TypeGallery_Length225_Width535_Size2room_LayoutC,Gallery,225,535,2room,C,53.43,84.15,1
TypeGallery_Length225_Width535_Size3room_LayoutA,Gallery,225,535,3room,A,53.43,84.15,1
TypeGallery_Length225_Width535_Size3room_LayoutB,Gallery,225,535,3room,B,53.43,84.15,1
